date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2021-11-19,85300,87300,85000,86300,373030,0,2.0095,0,0
2021-11-22,85500,88200,85300,87800,188598,0,1.7381,0,0
2021-11-23,85900,87100,85500,85600,229089,0,-2.5057,0,0
2021-11-24,85500,87000,85500,86500,208098,0,1.0514,0,0
2021-11-25,85700,86200,84500,84600,142795,0,-2.1965,0,0
2021-11-26,84200,84500,81500,82000,310591,0,-3.0733,0,0
2021-11-29,81900,82400,80500,80800,252967,0,-1.4634,0,0
2021-11-30,81000,81100,77000,78400,762537,0,-2.9703,0,0
2021-12-01,78400,79700,76800,78400,292591,0,0.0,0,0
2021-12-02,77900,81900,77400,81500,294959,0,3.9541,0,0
2021-12-03,80500,82700,80000,82000,326838,0,0.6135,0,0
2021-12-06,81900,82400,80400,81900,197543,0,-0.122,0,0
2021-12-07,82000,82400,80500,81900,332278,0,0.0,0,0
2021-12-08,81300,84300,81300,83600,405832,0,2.0757,0,0
2021-12-09,83600,84900,83600,84000,437588,0,0.4785,0,0
2021-12-10,84000,86900,83700,86600,279700,0,3.0952,0,0
2021-12-13,86700,89000,86300,86900,325203,0,0.3464,0,0
2021-12-14,81100,81800,80000,80500,9453170,0,-7.3648,0,0
2021-12-15,81400,82300,81100,81400,1088846,0,1.118,0,0
2021-12-16,81800,82100,80800,81600,642720,0,0.2457,0,0
2021-12-17,81200,82900,80900,82300,802264,0,0.8578,0,0
2021-12-20,82200,82800,80900,81000,631202,0,-1.5796,0,0
2021-12-21,81600,81600,80400,81400,343008,0,0.4938,0,0
2021-12-22,81600,82000,81000,81400,281713,0,0.0,0,0
2021-12-23,81500,82700,81200,82400,457129,0,1.2285,0,0
2021-12-24,82300,82900,81600,82500,292828,0,0.1214,0,0
2021-12-27,82500,82900,82200,82600,243474,0,0.1212,0,0
2021-12-28,82800,83800,82300,83700,373939,0,1.3317,0,0
2021-12-29,82300,82400,81500,81800,399291,0,-2.27,0,0
2021-12-30,81400,81800,80700,80900,357548,0,-1.1002,0,0
2022-01-03,80900,81300,80500,81000,256607,0,0.1236,0,0
2022-01-04,81000,82500,80600,82400,363062,0,1.7284,0,0
2022-01-05,81300,82100,80800,81400,429095,0,-1.2136,0,0
2022-01-06,80500,81400,80300,80800,570752,0,-0.7371,0,0
2022-01-07,80500,82000,80300,81600,593241,0,0.9901,0,0
2022-01-10,81400,81900,80300,80800,402694,0,-0.9804,0,0
2022-01-11,80300,80800,78800,79500,409770,0,-1.6089,0,0
2022-01-12,79900,82500,79600,82500,404563,0,3.7736,0,0
2022-01-13,82900,84500,82300,82600,445294,0,0.1212,0,0
2022-01-14,82500,83400,81500,82000,256682,0,-0.7264,0,0
2022-01-17,81200,81900,79900,80500,201597,0,-1.8293,0,0
2022-01-18,80900,81300,79000,79300,224720,0,-1.4907,0,0
2022-01-19,78800,80200,77700,78100,285099,0,-1.5132,0,0
2022-01-20,78800,79800,78600,79200,204484,0,1.4085,0,0
2022-01-21,78600,79700,78100,79200,216400,0,0.0,0,0
2022-01-24,79200,79700,76200,76600,333545,0,-3.2828,0,0
2022-01-25,76100,76600,73400,74400,429846,0,-2.8721,0,0
2022-01-26,74400,75600,74300,75000,258489,0,0.8065,0,0
2022-01-27,75000,76300,72000,72200,472284,0,-3.7333,0,0
2022-01-28,73200,74500,71900,74000,393314,0,2.4931,0,0
2022-02-03,74800,76300,74500,74600,225616,0,0.8108,0,0
2022-02-04,75000,76500,74700,76300,249415,0,2.2788,0,0
2022-02-07,77100,77100,75700,76200,224120,0,-0.1311,0,0
2022-02-08,77200,78200,75600,76300,253899,0,0.1312,0,0
2022-02-09,76600,77400,76400,77100,148035,0,1.0485,0,0
2022-02-10,77200,78200,77000,77800,275077,0,0.9079,0,0
2022-02-11,77000,77300,74400,75000,645124,0,-3.599,0,0
2022-02-14,73900,75700,73800,75500,364286,0,0.6667,0,0
2022-02-15,75500,76100,75400,75500,215429,0,0.0,0,0
2022-02-16,76000,76700,75900,76300,189127,0,1.0596,0,0
2022-02-17,76800,78200,76100,77000,281807,0,0.9174,0,0
2022-02-18,76100,77900,76000,77200,208507,0,0.2597,0,0
2022-02-21,75300,77200,75300,77200,215336,0,0.0,0,0
2022-02-22,76500,76700,75200,76200,296202,0,-1.2953,0,0
2022-02-23,76900,76900,75200,75800,184706,0,-0.5249,0,0
2022-02-24,75000,75200,72900,73700,312305,0,-2.7704,0,0
2022-02-25,74300,75000,73800,74100,188551,0,0.5427,0,0
2022-02-28,74000,75200,73400,75200,263755,0,1.4845,0,0
2022-03-02,74900,75300,74000,74000,210499,0,-1.5957,0,0
2022-03-03,73600,74500,72500,74100,287319,0,0.1351,0,0
2022-03-04,74100,75500,73500,75100,262937,0,1.3495,0,0
2022-03-07,73300,74400,73100,73200,305662,0,-2.53,0,0
2022-03-08,72900,73600,72400,73000,242903,0,-0.2732,0,0
2022-03-10,74000,74400,73200,73600,273569,0,0.8219,0,0
2022-03-11,73300,73800,73000,73600,197369,0,0.0,0,0
2022-03-14,73200,73700,72000,72400,194752,0,-1.6304,0,0
2022-03-15,71900,71900,70500,70900,287398,0,-2.0718,0,0
2022-03-16,71100,72500,70800,72500,290584,0,2.2567,0,0
2022-03-17,73500,74300,73100,73800,257937,0,1.7931,0,0
2022-03-18,73100,75500,73000,75300,387159,0,2.0325,0,0
