date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2025-08-11,68600,68700,67000,67400,490348,0,-2.3188,0,0
2025-08-12,67900,69700,67400,67700,510538,0,0.4451,0,0
2025-08-13,68800,69600,68400,68800,520296,0,1.6248,0,0
2025-08-14,68900,73600,68600,72200,1222826,0,4.9419,0,0
2025-08-18,72700,73000,71200,72400,485766,0,0.277,0,0
2025-08-19,72700,72800,70300,71000,483241,0,-1.9337,0,0
2025-08-20,68300,68900,66200,68500,486959,0,-3.5211,0,0
2025-08-21,68600,69000,67100,67100,384284,0,-2.0438,0,0
2025-08-22,66900,68150,66800,67200,226812,0,0.149,0,0
2025-08-25,68000,69200,67400,68900,267971,0,2.5298,0,0
2025-08-26,68800,68900,67400,68100,236360,0,-1.1611,0,0
2025-08-27,68800,68900,67600,68300,149564,0,0.2937,0,0
2025-08-28,68000,68100,66800,67200,222689,0,-1.6105,0,0
2025-08-29,67500,68800,67300,68000,203913,0,1.1905,0,0
2025-09-01,67500,67700,65000,65700,370408,0,-3.3824,0,0
2025-09-02,66000,68200,66000,66700,341316,0,1.5221,0,0
2025-09-03,66500,66600,65200,66100,223160,0,-0.8996,0,0
2025-09-04,66600,68000,66400,67300,259557,0,1.8154,0,0
2025-09-05,67800,68000,66900,67800,158203,0,0.7429,0,0
2025-09-08,67500,68400,67000,68200,185932,0,0.59,0,0
2025-09-09,68700,69500,67900,69500,326020,0,1.9062,0,0
2025-09-10,70700,72700,70200,71300,622328,0,2.5899,0,0
2025-09-11,72300,72300,70200,70500,330717,0,-1.122,0,0
2025-09-12,71500,73500,71200,72300,683176,0,2.5532,0,0
2025-09-15,72600,72600,70500,71000,407995,0,-1.7981,0,0
2025-09-16,71600,72200,70800,71300,353292,0,0.4225,0,0
2025-09-17,70700,70800,69500,69600,403386,0,-2.3843,0,0
2025-09-18,70000,71100,69700,70700,265978,0,1.5805,0,0
2025-09-19,71000,71800,70300,71300,2078817,0,0.8487,0,0
2025-09-22,71800,71900,68600,68600,1132239,0,-3.7868,0,0
2025-09-23,68900,69500,66600,66700,1080331,0,-2.7697,0,0
2025-09-24,67100,67200,65500,65900,641980,0,-1.1994,0,0
2025-09-25,65900,67500,65300,67200,791377,0,1.9727,0,0
2025-09-26,67000,67000,64200,64500,783468,0,-4.0179,0,0
2025-09-29,65700,67000,65500,66200,687544,0,2.6357,0,0
2025-09-30,66600,68300,65600,65700,765785,0,-0.7553,0,0
2025-10-01,66200,66900,63600,63800,789263,0,-2.8919,0,0
2025-10-02,64300,65200,63800,64600,483315,0,1.2539,0,0
