date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2023-02-28,16360,16500,16260,16260,3788123,0,0.0,0,0
2023-03-02,16160,16670,16160,16580,5444938,0,1.968,0,0
2023-03-03,16600,16780,16210,16720,5530314,0,0.8444,0,0
2023-03-06,16700,16980,16600,16890,5199228,0,1.0167,0,0
2023-03-07,16900,16990,16670,16840,4017290,0,-0.296,0,0
2023-03-08,16800,17260,16660,17130,8722695,0,1.7221,0,0
2023-03-09,17290,18320,17280,18140,25659871,0,5.8961,0,0
2023-03-10,18030,18370,17690,17890,10207127,0,-1.3782,0,0
2023-03-13,17780,18040,17400,17810,6962135,0,-0.4472,0,0
2023-03-14,17700,17860,16730,16780,8669240,0,-5.7833,0,0
2023-03-15,17250,17990,17120,17690,8767717,0,5.4231,0,0
2023-03-16,17690,17690,17200,17360,5005319,0,-1.8655,0,0
2023-03-17,17560,17580,17050,17090,4404664,0,-1.5553,0,0
2023-03-20,16990,17390,16860,17020,4221727,0,-0.4096,0,0
2023-03-21,17130,17140,16680,16750,4084065,0,-1.5864,0,0
2023-03-22,16830,16970,16480,16510,4702727,0,-1.4328,0,0
2023-03-23,16380,16450,16080,16130,5722913,0,-2.3016,0,0
2023-03-24,16210,16790,16000,16300,6524954,0,1.0539,0,0
2023-03-27,16300,16310,15840,15950,4820797,0,-2.1472,0,0
2023-03-28,15960,16170,15820,16100,3746813,0,0.9404,0,0
2023-03-29,16170,16920,15970,16650,7640751,0,3.4161,0,0
2023-03-30,16660,16690,16210,16350,6071505,0,-1.8018,0,0
2023-03-31,16340,17150,16300,17000,10667172,0,3.9755,0,0
2023-04-03,17020,17290,16810,17060,5999794,0,0.3529,0,0
2023-04-04,17020,17480,17020,17280,5979172,0,1.2896,0,0
2023-04-05,17080,17220,16610,16980,6849792,0,-1.7361,0,0
2023-04-06,16950,17350,16900,17050,5869627,0,0.4122,0,0
2023-04-07,17130,17150,16800,16830,4015924,0,-1.2903,0,0
2023-04-10,16830,16940,16390,16750,5000474,0,-0.4753,0,0
2023-04-11,16750,17230,16650,16970,5106654,0,1.3134,0,0
2023-04-12,17020,17910,17000,17700,12799902,0,4.3017,0,0
2023-04-13,17740,17980,17570,17860,6339687,0,0.904,0,0
2023-04-14,17980,18250,17670,18080,8155956,0,1.2318,0,0
2023-04-17,18350,19480,18250,19300,23326779,0,6.7478,0,0
2023-04-18,19400,19400,18560,18640,11148031,0,-3.4197,0,0
2023-04-19,18330,19000,18300,18540,7611256,0,-0.5365,0,0
2023-04-20,18700,19080,18240,18370,7734047,0,-0.9169,0,0
2023-04-21,18340,18660,18020,18410,5970460,0,0.2177,0,0
2023-04-24,18440,18850,17910,18080,5888901,0,-1.7925,0,0
2023-04-25,18290,18770,17870,18100,8874845,0,0.1106,0,0
2023-04-26,17740,17980,17100,17100,9133999,0,-5.5249,0,0
2023-04-27,16900,17240,16660,16930,6525535,0,-0.9942,0,0
2023-04-28,17100,17290,16560,16690,7092891,0,-1.4176,0,0
2023-05-02,16630,16630,16100,16130,8497929,0,-3.3553,0,0
2023-05-03,15800,16000,15550,15570,8122231,0,-3.4718,0,0
2023-05-04,15990,16070,15720,15810,6676920,0,1.5414,0,0
2023-05-08,15980,15980,15800,15810,3558213,0,0.0,0,0
2023-05-09,15810,15820,15520,15540,3899445,0,-1.7078,0,0
2023-05-10,15510,15690,15310,15360,3872476,0,-1.1583,0,0
2023-05-11,15380,15620,15290,15330,3668960,0,-0.1953,0,0
2023-05-12,15350,15400,15100,15140,3518129,0,-1.2394,0,0
2023-05-15,15140,15480,15060,15380,3569530,0,1.5852,0,0
2023-05-16,15600,16050,15590,15820,6090991,0,2.8609,0,0
2023-05-17,15940,16110,15690,15770,3662141,0,-0.3161,0,0
2023-05-18,15840,15930,15570,15780,3108159,0,0.0634,0,0
2023-05-19,15790,16080,15780,16050,3664969,0,1.711,0,0
2023-05-22,16120,16700,16100,16380,5867434,0,2.0561,0,0
2023-05-23,16460,16500,16270,16410,2635166,0,0.1832,0,0
2023-05-24,16380,16500,16230,16370,2876212,0,-0.2438,0,0
2023-05-25,16310,16540,16110,16160,2823124,0,-1.2828,0,0
2023-05-26,16100,16260,15920,16000,2667363,0,-0.9901,0,0
2023-05-30,16030,16260,15960,16060,3003648,0,0.375,0,0
2023-05-31,16020,16080,15870,16080,4768120,0,0.1245,0,0
2023-06-01,16100,16380,16030,16200,3553945,0,0.7463,0,0
2023-06-02,16300,16480,16270,16440,3337794,0,1.4815,0,0
2023-06-05,16550,16950,16530,16950,5109308,0,3.1022,0,0
2023-06-07,17150,17490,17070,17400,6632297,0,2.6549,0,0
2023-06-08,17400,17990,17360,17910,8344601,0,2.931,0,0
2023-06-09,18030,19140,18010,18970,21807559,0,5.9185,0,0
2023-06-12,18980,19150,18030,18440,13980557,0,-2.7939,0,0
2023-06-13,18580,19190,18550,18870,11632474,0,2.3319,0,0
2023-06-14,18980,19000,18480,18750,6886391,0,-0.6359,0,0
2023-06-15,18820,19060,18640,18750,6261737,0,0.0,0,0
2023-06-16,18880,19360,18660,19270,9271007,0,2.7733,0,0
2023-06-19,19340,19370,19010,19280,6161779,0,0.0519,0,0
2023-06-20,19370,20200,19160,19270,15170674,0,-0.0519,0,0
2023-06-21,19400,19660,19040,19270,7437770,0,0.0,0,0
2023-06-22,19260,19280,18000,18010,13508101,0,-6.5387,0,0
2023-06-23,17900,18370,17890,18110,5520005,0,0.5552,0,0
2023-06-26,17900,18040,17550,17790,5166894,0,-1.767,0,0
2023-06-27,17830,18300,17810,18230,5005256,0,2.4733,0,0
2023-06-28,18340,18340,17970,18000,3466874,0,-1.2617,0,0
2023-06-29,18140,18180,17700,17750,3398202,0,-1.3889,0,0
2023-06-30,17870,18180,17860,18110,3431001,0,2.0282,0,0
2023-07-03,18210,18220,17910,18100,3281662,0,-0.0552,0,0
2023-07-04,18080,18080,17800,17920,3546173,0,-0.9945,0,0
2023-07-05,18050,18200,17610,17740,4161144,0,-1.0045,0,0
2023-07-06,17700,17810,17360,17400,4432982,0,-1.9166,0,0
2023-07-07,17330,17590,17160,17400,3739076,0,0.0,0,0
2023-07-10,17500,17940,17500,17730,4260814,0,1.8966,0,0
2023-07-11,18050,18930,18030,18850,12449251,0,6.317,0,0
2023-07-12,19020,19110,18350,18390,7333258,0,-2.4403,0,0
